A;A;d;85
A;K;d;67
A;Q;d;66
A;J;d;65
A;10;d;64
A;9;d;62
A;8;d;60
A;7;d;57
A;6;d;55
A;5;d;55
A;4;d;55
A;3;d;54
A;2;d;54
K;K;d;82
K;Q;d;63
K;J;d;62
K;10;d;58
K;9;d;56
K;8;d;54
K;7;d;53
K;6;d;51
K;5;d;50
K;4;d;49
K;3;d;49
K;2;d;48
Q;Q;d;80
Q;J;d;60
Q;10;d;59
Q;9;d;57
Q;8;d;55
Q;7;d;53
Q;6;d;50
Q;5;d;48
Q;4;d;47
Q;3;d;46
Q;2;d;45
J;J;d;77
J;10;d;57
J;9;d;56
J;8;d;52
J;7;d;49
J;6;d;47
J;5;d;45
J;4;d;44
J;3;d;44
J;2;d;43
10;10;d;75
10;9;d;51
10;8;d;51
10;7;d;48
10;6;d;44
10;5;d;42
10;4;d;40
10;3;d;39
10;2;d;38
9;9;d;72
9;8;d;48
9;7;d;46
9;6;d;43
9;5;d;40
9;4;d;41
9;3;d;38
9;2;d;36
8;8;d;69
8;7;d;48
8;6;d;44
8;5;d;39
8;4;d;37
8;3;d;35
8;2;d;34
7;7;d;66
7;6;d;39
7;5;d;37
7;4;d;36
7;3;d;34
7;2;d;32
6;6;d;63
6;5;d;43
6;4;d;35
6;3;d;33
6;2;d;31
5;5;d;60
5;4;d;36
5;3;d;34
5;2;d;32
4;4;d;57
4;3;d;33
4;2;d;31
3;3;d;54
3;2;d;36
2;2;d;50
A;K;m;67
A;Q;m;66
A;J;m;65
A;10;m;64
A;9;m;62
A;8;m;62
A;7;m;60
A;6;m;59
A;5;m;58
A;4;m;57
A;3;m;56
A;2;m;57
K;Q;m;63
K;J;m;62
K;10;m;61
K;9;m;59
K;8;m;57
K;7;m;55
K;6;m;55
K;5;m;54
K;4;m;54
K;3;m;52
K;2;m;51
Q;J;m;60
Q;10;m;59
Q;9;m;57
Q;8;m;56
Q;7;m;55
Q;6;m;54
Q;5;m;53
Q;4;m;52
Q;3;m;50
Q;2;m;48
J;10;m;57
J;9;m;56
J;8;m;55
J;7;m;53
J;6;m;51
J;5;m;49
J;4;m;47
J;3;m;45
J;2;m;44
10;9;m;54
10;8;m;52
10;7;m;50
10;6;m;48
10;5;m;46
10;4;m;44
10;3;m;43
10;2;m;42
9;8;m;51
9;7;m;49
9;6;m;47
9;5;m;45
9;4;m;43
9;3;m;41
9;2;m;40
8;7;m;48
8;6;m;46
8;5;m;44
8;4;m;42
8;3;m;38
8;2;m;37
7;6;m;45
7;5;m;41
7;4;m;39
7;3;m;37
7;2;m;35
6;5;m;43
6;4;m;40
6;3;m;37
6;2;m;35
5;4;m;41
5;3;m;38
5;2;m;36
4;3;m;39
4;2;m;34
3;2;m;36
